GeneID,Symbol,Score,P-value
53834,FGFRL1,0.926445631,2.09602E-07
682,BSG,-0.667618057,2.32163E-07
84525,HOPX,1.250958471,2.60753E-07
63874,ABHD4,0.784777563,2.73916E-07
1958,EGR1,-0.88880313,3.23375E-07
216,ALDH1A1,-1.238470025,3.56069E-07
2034,EPAS1,1.13751805,3.72022E-07
85315,PAQR8,0.778027557,3.8068E-07
57084,SLC17A6,-1.336310888,4.14371E-07
64102,TNMD,-4.048109248,4.43546E-07
6446,SGK1,-0.896496348,4.67902E-07
1466,CSRP2,-1.506410175,4.93395E-07
3671,ISLR,0.965118205,5.31601E-07
26355,FAM162A,-0.946716202,5.38751E-07
114786,XKR4,0.714311473,5.49767E-07
7168,TPM1,-0.684226362,6.05286E-07
58526,MID1IP1,0.79358908,6.29245E-07
2878,GPX3,-1.407473101,6.5899E-07
468,ATF4,-0.741414947,6.7478E-07
1839,HBEGF,-1.199898914,6.91021E-07
65997,RASL11B,-1.060478423,6.92874E-07
9435,CHST2,0.770082064,7.0361E-07
408263,FNDC9,-1.430238483,7.34298E-07
5173,PDYN,-1.656148449,7.4889E-07
3105,HLA-A,-0.895425156,9.32497E-07
27163,NAAA,1.096516998,9.52141E-07
90523,MLIP,-1.15638324,9.96105E-07
1390,CREM,-1.142937116,1.02334E-06
340527,NHSL2,0.969106176,1.03414E-06
83733,SLC25A18,1.037372629,1.04195E-06
9723,SEMA3E,-1.121278517,1.07869E-06
8863,PER3,1.676154008,1.13351E-06
7076,TIMP1,-2.163709286,1.1996E-06
23500,DAAM2,1.202887791,1.23274E-06
51330,TNFRSF12A,-1.394311475,1.24392E-06
5218,CDK14,0.750979544,1.28914E-06
115908,CTHRC1,-1.764439658,1.3538E-06
3485,IGFBP2,-0.868396733,1.37522E-06
53373,TPCN1,1.049362149,1.3783E-06
8870,IER3,-1.741429859,1.41874E-06
338645,LUZP2,0.847115848,1.55181E-06
968,CD68,-2.153855188,1.58905E-06
9123,SLC16A3,-2.086758462,1.59121E-06
55225,RAVER2,1.013154688,1.63404E-06
2012,EMP1,-1.757448233,1.73507E-06
90411,MCFD2,-0.819087941,1.7554E-06
3131,HLF,0.931742024,1.90755E-06
64129,TINAGL1,-1.883826738,1.98115E-06
85450,ITPRIP,-2.014515635,2.14636E-06
1956,EGFR,0.885495014,2.41667E-06
3958,LGALS3,-2.462809478,2.68775E-06
5358,PLS3,-0.627278636,2.70794E-06
347,APOD,-0.986139029,2.79366E-06
7301,TYRO3,-0.728290116,2.83911E-06
27319,BHLHE22,0.894350889,2.93088E-06
10317,B3GALT5,1.040388551,2.95812E-06
116443,GRIN3A,0.793031846,3.03788E-06
171024,SYNPO2,1.213262193,3.18565E-06
79971,WLS,-0.737765355,3.22257E-06
26084,ARHGEF26,0.877237629,3.26332E-06
79784,MYH14,1.0128379,3.3393E-06
80031,SEMA6D,0.837550466,3.39252E-06
9388,LIPG,-1.869907857,3.41762E-06
134353,LSM11,-0.926616355,3.51187E-06
4677,NARS1,-0.618162115,3.58451E-06
55553,SOX6,0.924378101,3.74454E-06
51278,IER5,-0.929862447,3.78214E-06
56062,KLHL4,-1.342213949,4.03928E-06
