GeneID,Symbol,Score,P-value
9444,QKI,-0.113007399,1.98024E-07
53834,FGFRL1,-0.077734161,2.09602E-07
682,BSG,-0.151792858,2.32163E-07
84525,HOPX,0.225735438,2.60753E-07
63874,ABHD4,-0.030693558,2.73916E-07
1958,EGR1,-0.301279855,3.23375E-07
216,ALDH1A1,-0.935743578,3.56069E-07
2034,EPAS1,-0.018393108,3.72022E-07
85315,PAQR8,0.150133144,3.8068E-07
57084,SLC17A6,-0.102051222,4.14371E-07
64102,TNMD,-2.443569587,4.43546E-07
6446,SGK1,-0.159872324,4.67902E-07
1466,CSRP2,0.25273739,4.93395E-07
3671,ISLR,0.236863907,5.31601E-07
26355,FAM162A,-0.238972965,5.38751E-07
114786,XKR4,-0.04142022,5.49767E-07
7168,TPM1,-0.22863785,6.05286E-07
58526,MID1IP1,0.120609667,6.29245E-07
2878,GPX3,-0.791950171,6.5899E-07
468,ATF4,0.229687603,6.7478E-07
1839,HBEGF,-0.42977987,6.91021E-07
65997,RASL11B,-0.154040821,6.92874E-07
9435,CHST2,-0.199565941,7.0361E-07
408263,FNDC9,0.052879799,7.34298E-07
5173,PDYN,-0.346111251,7.4889E-07
3105,HLA-A,-0.156668355,9.32497E-07
27163,NAAA,0.449964614,9.52141E-07
90523,MLIP,-0.201990912,9.96105E-07
1390,CREM,-0.089911949,1.02334E-06
340527,NHSL2,0.074392373,1.03414E-06
83733,SLC25A18,0.000804792,1.04195E-06
9723,SEMA3E,-0.171426171,1.07869E-06
8863,PER3,-0.208144598,1.13351E-06
7076,TIMP1,-0.45956433,1.1996E-06
23500,DAAM2,-0.077531684,1.23274E-06
51330,TNFRSF12A,-0.705139524,1.24392E-06
5218,CDK14,-0.004687433,1.28914E-06
115908,CTHRC1,-0.70615382,1.3538E-06
3485,IGFBP2,-0.674645331,1.37522E-06
53373,TPCN1,0.006259914,1.3783E-06
8870,IER3,-1.030967865,1.41874E-06
338645,LUZP2,0.042256568,1.55181E-06
968,CD68,-0.176888823,1.58905E-06
9123,SLC16A3,-1.652106471,1.59121E-06
55225,RAVER2,-0.228107157,1.63404E-06
2012,EMP1,-0.071048922,1.73507E-06
90411,MCFD2,0.138882378,1.7554E-06
3131,HLF,0.064069528,1.90755E-06
64129,TINAGL1,-0.552982286,1.98115E-06
85450,ITPRIP,0.198999365,2.14636E-06
1956,EGFR,-0.144015061,2.41667E-06
3958,LGALS3,0.572485067,2.68775E-06
5358,PLS3,-0.024091074,2.70794E-06
347,APOD,0.051471493,2.79366E-06
7301,TYRO3,-0.06606692,2.83911E-06
27319,BHLHE22,-0.051497015,2.93088E-06
10317,B3GALT5,-0.164493252,2.95812E-06
116443,GRIN3A,0.050105771,3.03788E-06
171024,SYNPO2,0.398386273,3.18565E-06
79971,WLS,-0.03264714,3.22257E-06
26084,ARHGEF26,0.308421879,3.26332E-06
79784,MYH14,0.28200867,3.3393E-06
80031,SEMA6D,0.03614012,3.39252E-06
9388,LIPG,-0.162190832,3.41762E-06
134353,LSM11,-0.329543307,3.51187E-06
4677,NARS1,0.112664589,3.58451E-06
55553,SOX6,0.088716069,3.74454E-06
51278,IER5,-0.305223129,3.78214E-06
56062,KLHL4,-0.724322167,4.03928E-06
55816,DOK5,0.046584555,4.24275E-06
10675,CSPG5,0.06379488,4.27379E-06
387496,RASL11A,-0.063615318,4.45E-06
440,ASNS,0.07188536,4.52336E-06
6662,SOX9,0.122405821,4.72244E-06
23048,FNBP1,0.155131623,4.91763E-06
116448,OLIG1,-0.257318147,5.14032E-06
84812,PLCD4,0.03346355,5.19048E-06
56937,PMEPA1,-0.186145348,5.27636E-06
1768,DNAH6,0.412328598,5.35107E-06
5098,PCDHGC3,-0.120698939,5.5103E-06
23109,DDN,-0.18600924,5.7793E-06
54578,UGT1A6,0.674776551,5.84641E-06
2746,GLUD1,-0.032522997,6.01517E-06
887,CCKBR,-0.371963788,6.12501E-06
7051,TGM1,-2.322371788,6.14546E-06
22986,SORCS3,-0.38919996,6.33535E-06
10654,PMVK,0.103133016,6.55201E-06
4099,MAG,-0.695514636,7.31143E-06
7101,NR2E1,-0.050000204,7.39351E-06
4853,NOTCH2,0.058972491,7.56537E-06
127731,VWA5B1,0.344561766,7.63268E-06
152404,IGSF11,0.148030643,7.64809E-06
10669,CGREF1,0.016430362,7.78075E-06
226,ALDOA,-0.189203393,8.18911E-06
22905,EPN2,0.047493085,8.28154E-06
2915,GRM5,0.004426233,8.37464E-06
9607,CARTPT,-1.785424659,8.39252E-06
9124,PDLIM1,0.413888451,8.51104E-06
3696,ITGB8,0.118316527,8.53415E-06
219654,ZCCHC24,0.110531156,8.71585E-06
6319,SCD,-0.327948511,8.73351E-06
387763,C11ORF96,-0.35691076,8.82322E-06
116372,LYPD1,-0.273787253,8.88474E-06
3754,KCNF1,-0.039487963,8.95369E-06
7130,TNFAIP6,-0.775551577,9.08276E-06
3309,HSPA5,0.321192168,9.23431E-06
64651,CSRNP1,-0.408440112,9.37803E-06
84867,PTPN5,-0.128464584,9.98375E-06
316,AOX1,0.135807597,1.02034E-05
51306,FAM13B,-0.025167313,1.06025E-05
124935,SLC43A2,0.159754613,1.10997E-05
51305,KCNK9,-0.158837309,1.11527E-05
5662,PSD,-0.082323326,1.13324E-05
57678,GPAM,-0.43687779,1.1552E-05
10247,RIDA,0.119164411,1.16268E-05
4651,MYO10,0.192274975,1.17885E-05
301,ANXA1,-0.137459277,1.26859E-05
94241,TP53INP1,-0.033047079,1.40201E-05
1961,EGR4,-0.021582732,1.45779E-05
658,BMPR1B,0.260432312,1.54276E-05
64759,TNS3,0.080495754,1.56019E-05
115827,RAB3C,-0.117696581,1.58272E-05
2617,GARS1,-0.021362468,1.59903E-05
27071,DAPP1,0.511680074,1.68148E-05
80243,PREX2,0.172571417,1.71318E-05
4638,MYLK,-0.265569269,1.72084E-05
57480,PLEKHG1,-0.168806714,1.74134E-05
23764,MAFF,-0.645417051,1.74529E-05
5806,PTX3,-0.129371233,1.76072E-05
7371,UCK2,-0.117242154,1.95435E-05
5608,MAP2K6,-0.067290586,1.97676E-05
5870,RAB6A,-0.016609078,2.0076E-05
6529,SLC6A1,-0.222731585,2.02007E-05
51186,TCEAL9,0.132992189,2.02979E-05
64388,GREM2,-0.590317,2.10017E-05
150094,SIK1,-0.522051271,2.10614E-05
730130,TMEM229A,0.053667238,2.15729E-05
3350,HTR1A,-0.148784919,2.15968E-05
133,ADM,-0.717674938,2.18048E-05
5066,PAM,-0.167278817,2.1922E-05
91851,CHRDL1,-0.817976697,2.20553E-05
10418,SPON1,0.249703523,2.23243E-05
9588,PRDX6,0.035409998,2.29394E-05
5178,PEG3,0.067863628,2.32763E-05
8404,SPARCL1,0.274305496,2.45113E-05
6301,SARS1,0.0566423,2.51988E-05
2737,GLI3,-0.003364438,2.64053E-05
51196,PLCE1,0.162663665,2.65274E-05
221074,SLC39A12,0.055466382,2.73793E-05
4616,GADD45B,-0.331224502,2.9005E-05
79751,SLC25A22,-0.038668585,2.9036E-05
5327,PLAT,-0.204711738,3.06814E-05
23328,SASH1,0.184504393,3.08646E-05
22865,SLITRK3,0.13855216,3.08857E-05
161253,REM2,-0.735194703,3.09963E-05
5830,PEX5,-0.126879842,3.1733E-05
1030,CDKN2B,-0.247123894,3.22217E-05
63933,MCUR1,-0.006007069,3.30418E-05
6520,SLC3A2,0.097903064,3.37352E-05
1978,EIF4EBP1,-0.015568442,3.46142E-05
5155,PDGFB,-0.193063052,3.89677E-05
